INSERT INTO asistencia (as_fecha_entrada, as_fecha_salida,e_id) VALUES 
(to_timestamp('01-06-2018 06:08', 'DD-MM-YYYY HH24:MI'),to_timestamp('01-06-2018 17:54', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('19-06-2018 07:42', 'DD-MM-YYYY HH24:MI'),to_timestamp('19-06-2018 12:08', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('20-06-2018 08:13', 'DD-MM-YYYY HH24:MI'),to_timestamp('20-06-2018 15:50', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('01-06-2018 06:27', 'DD-MM-YYYY HH24:MI'),to_timestamp('01-06-2018 14:36', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('02-06-2018 07:21', 'DD-MM-YYYY HH24:MI'),to_timestamp('02-06-2018 15:09', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('03-06-2018 08:00', 'DD-MM-YYYY HH24:MI'),to_timestamp('03-06-2018 12:26', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('04-06-2018 09:52', 'DD-MM-YYYY HH24:MI'),to_timestamp('04-06-2018 12:38', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('05-06-2018 06:50', 'DD-MM-YYYY HH24:MI'),to_timestamp('05-06-2018 14:00', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('06-06-2018 06:46', 'DD-MM-YYYY HH24:MI'),to_timestamp('06-06-2018 19:53', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('07-06-2018 08:53', 'DD-MM-YYYY HH24:MI'),to_timestamp('07-06-2018 17:59', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('08-06-2018 06:48', 'DD-MM-YYYY HH24:MI'),to_timestamp('08-06-2018 15:58', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('09-06-2018 06:03', 'DD-MM-YYYY HH24:MI'),to_timestamp('09-06-2018 16:35', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('10-06-2018 09:52', 'DD-MM-YYYY HH24:MI'),to_timestamp('10-06-2018 18:19', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('11-06-2018 09:25', 'DD-MM-YYYY HH24:MI'),to_timestamp('11-06-2018 16:50', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('12-06-2018 05:57', 'DD-MM-YYYY HH24:MI'),to_timestamp('12-06-2018 15:27', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('13-06-2018 06:10', 'DD-MM-YYYY HH24:MI'),to_timestamp('13-06-2018 14:47', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('14-06-2018 07:28', 'DD-MM-YYYY HH24:MI'),to_timestamp('14-06-2018 19:20', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('15-06-2018 09:18', 'DD-MM-YYYY HH24:MI'),to_timestamp('15-06-2018 18:49', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('16-06-2018 08:14', 'DD-MM-YYYY HH24:MI'),to_timestamp('16-06-2018 16:12', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('17-06-2018 05:47', 'DD-MM-YYYY HH24:MI'),to_timestamp('17-06-2018 15:31', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('18-06-2018 09:57', 'DD-MM-YYYY HH24:MI'),to_timestamp('18-06-2018 16:04', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('19-06-2018 09:49', 'DD-MM-YYYY HH24:MI'),to_timestamp('19-06-2018 13:05', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('20-06-2018 09:15', 'DD-MM-YYYY HH24:MI'),to_timestamp('20-06-2018 12:52', 'DD-MM-YYYY HH24:MI'),2),
(to_timestamp('01-06-2018 09:40', 'DD-MM-YYYY HH24:MI'),to_timestamp('01-06-2018 12:54', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('02-06-2018 08:07', 'DD-MM-YYYY HH24:MI'),to_timestamp('02-06-2018 12:03', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('03-06-2018 08:16', 'DD-MM-YYYY HH24:MI'),to_timestamp('03-06-2018 14:28', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('04-06-2018 05:21', 'DD-MM-YYYY HH24:MI'),to_timestamp('04-06-2018 12:57', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('05-06-2018 09:37', 'DD-MM-YYYY HH24:MI'),to_timestamp('05-06-2018 19:36', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('06-06-2018 08:32', 'DD-MM-YYYY HH24:MI'),to_timestamp('06-06-2018 16:33', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('07-06-2018 07:40', 'DD-MM-YYYY HH24:MI'),to_timestamp('07-06-2018 13:56', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('08-06-2018 05:42', 'DD-MM-YYYY HH24:MI'),to_timestamp('08-06-2018 16:15', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('09-06-2018 08:09', 'DD-MM-YYYY HH24:MI'),to_timestamp('09-06-2018 12:39', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('10-06-2018 07:34', 'DD-MM-YYYY HH24:MI'),to_timestamp('10-06-2018 14:09', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('11-06-2018 09:23', 'DD-MM-YYYY HH24:MI'),to_timestamp('11-06-2018 16:44', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('12-06-2018 07:32', 'DD-MM-YYYY HH24:MI'),to_timestamp('12-06-2018 17:48', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('13-06-2018 09:55', 'DD-MM-YYYY HH24:MI'),to_timestamp('13-06-2018 15:59', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('14-06-2018 09:54', 'DD-MM-YYYY HH24:MI'),to_timestamp('14-06-2018 17:21', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('15-06-2018 07:35', 'DD-MM-YYYY HH24:MI'),to_timestamp('15-06-2018 13:02', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('16-06-2018 06:16', 'DD-MM-YYYY HH24:MI'),to_timestamp('16-06-2018 19:03', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('17-06-2018 09:05', 'DD-MM-YYYY HH24:MI'),to_timestamp('17-06-2018 17:02', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('18-06-2018 06:51', 'DD-MM-YYYY HH24:MI'),to_timestamp('18-06-2018 12:43', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('19-06-2018 05:39', 'DD-MM-YYYY HH24:MI'),to_timestamp('19-06-2018 12:45', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('20-06-2018 05:46', 'DD-MM-YYYY HH24:MI'),to_timestamp('20-06-2018 15:08', 'DD-MM-YYYY HH24:MI'),3),
(to_timestamp('01-06-2018 08:41', 'DD-MM-YYYY HH24:MI'),to_timestamp('01-06-2018 12:54', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('02-06-2018 06:36', 'DD-MM-YYYY HH24:MI'),to_timestamp('02-06-2018 13:30', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('03-06-2018 06:30', 'DD-MM-YYYY HH24:MI'),to_timestamp('03-06-2018 14:49', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('04-06-2018 07:17', 'DD-MM-YYYY HH24:MI'),to_timestamp('04-06-2018 12:18', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('05-06-2018 09:34', 'DD-MM-YYYY HH24:MI'),to_timestamp('05-06-2018 15:34', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('06-06-2018 08:54', 'DD-MM-YYYY HH24:MI'),to_timestamp('06-06-2018 17:10', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('07-06-2018 08:31', 'DD-MM-YYYY HH24:MI'),to_timestamp('07-06-2018 19:43', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('08-06-2018 06:00', 'DD-MM-YYYY HH24:MI'),to_timestamp('08-06-2018 16:51', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('09-06-2018 09:11', 'DD-MM-YYYY HH24:MI'),to_timestamp('09-06-2018 17:21', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('10-06-2018 07:42', 'DD-MM-YYYY HH24:MI'),to_timestamp('10-06-2018 17:31', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('11-06-2018 07:35', 'DD-MM-YYYY HH24:MI'),to_timestamp('11-06-2018 12:08', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('12-06-2018 08:02', 'DD-MM-YYYY HH24:MI'),to_timestamp('12-06-2018 15:57', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('13-06-2018 07:58', 'DD-MM-YYYY HH24:MI'),to_timestamp('13-06-2018 12:06', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('14-06-2018 09:00', 'DD-MM-YYYY HH24:MI'),to_timestamp('14-06-2018 13:16', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('15-06-2018 06:58', 'DD-MM-YYYY HH24:MI'),to_timestamp('15-06-2018 15:39', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('16-06-2018 09:13', 'DD-MM-YYYY HH24:MI'),to_timestamp('16-06-2018 16:14', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('17-06-2018 09:54', 'DD-MM-YYYY HH24:MI'),to_timestamp('17-06-2018 16:03', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('18-06-2018 05:38', 'DD-MM-YYYY HH24:MI'),to_timestamp('18-06-2018 19:48', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('19-06-2018 07:35', 'DD-MM-YYYY HH24:MI'),to_timestamp('19-06-2018 13:14', 'DD-MM-YYYY HH24:MI'),4),
(to_timestamp('20-06-2018 05:38', 'DD-MM-YYYY HH24:MI'),to_timestamp('20-06-2018 15:37', 'DD-MM-YYYY HH24:MI'),4),
